"V1","Family","ESV","Class","Resource","c_ia","Treatment"
28,"F1","S28","T0","R0",0.820223791443758,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
29,"F1","S29","T0","R0",0.0219693367541674,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
30,"F1","S30","T0","R0",0.619826920939386,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
31,"F1","S31","T0","R0",0.0762395038891349,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
32,"F1","S32","T0","R0",0.219611718715677,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
33,"F1","S33","T0","R0",0.0923881598517756,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
34,"F1","S34","T0","R0",0.59014776261295,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
35,"F1","S35","T0","R0",0.0591082594748997,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
36,"F1","S36","T0","R0",0.0442984567242834,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
37,"F1","S37","T0","R0",0.0683693271561586,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
38,"F1","S38","T0","R0",0.248301966473817,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
39,"F1","S39","T0","R0",0.634041437946313,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
40,"F0","S0","T0","R1",0.00284101790119448,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
41,"F0","S1","T0","R1",0.529455071226668,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
42,"F0","S2","T0","R1",0.509982369082043,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
43,"F0","S3","T0","R1",0.198863149984974,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
44,"F0","S4","T0","R1",0.0483408405578689,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
45,"F0","S5","T0","R1",0.0477333400645566,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
46,"F0","S6","T0","R1",0.324736588908779,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
47,"F0","S7","T0","R1",1.69202150133912,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
48,"F0","S8","T0","R1",3.28537290280004,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
49,"F0","S9","T0","R1",3.44831528796701e-05,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
50,"F0","S10","T0","R1",0.00837059817150805,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
51,"F0","S11","T0","R1",0.374223747961796,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
52,"F0","S12","T0","R1",0.434067772312668,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
53,"F0","S13","T0","R1",5.63225408394173,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
54,"F0","S14","T0","R1",0.238234213968452,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
55,"F0","S15","T0","R1",0.526713135260115,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
56,"F0","S16","T0","R1",0.0109460749144521,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
57,"F0","S17","T0","R1",0.00727236083918006,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
58,"F0","S18","T0","R1",0.401190273448321,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
59,"F0","S19","T0","R1",0.177882972782993,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
60,"F1","S20","T0","R1",0.124981295232913,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
61,"F1","S21","T0","R1",0.085930495487912,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
62,"F1","S22","T0","R1",0.311817545528317,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
63,"F1","S23","T0","R1",0.139067186829565,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
64,"F1","S24","T0","R1",0.438945480998039,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
65,"F1","S25","T0","R1",1.02825948391315,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
66,"F1","S26","T0","R1",0.150205251855057,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
67,"F1","S27","T0","R1",0.090780394605082,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
68,"F1","S28","T0","R1",0.0554955384054559,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
69,"F1","S29","T0","R1",1.4404554703434,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
70,"F1","S30","T0","R1",1.87068691432067,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
71,"F1","S31","T0","R1",0.647127180222477,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
72,"F1","S32","T0","R1",0.0350143218058076,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
73,"F1","S33","T0","R1",0.123953997009279,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
74,"F1","S34","T0","R1",0.000539304367769356,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
75,"F1","S35","T0","R1",0.224495617136088,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
76,"F1","S36","T0","R1",1.0831527460706,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
77,"F1","S37","T0","R1",0.690816967985396,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
78,"F1","S38","T0","R1",8.42348105593088e-05,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
79,"F1","S39","T0","R1",0.289378376899291,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
80,"F0","S0","T0","R2",0.0137612014125178,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
81,"F0","S1","T0","R2",0.977124226723005,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
82,"F0","S2","T0","R2",0.13735444531856,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
83,"F0","S3","T0","R2",0.235509049038645,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
84,"F0","S4","T0","R2",0.48928570495684,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
85,"F0","S5","T0","R2",0.117809620997066,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
86,"F0","S6","T0","R2",1.48726436604346,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
87,"F0","S7","T0","R2",0.970126952066586,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
88,"F0","S8","T0","R2",3.18695541585026,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
89,"F0","S9","T0","R2",0.0755362231643499,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
90,"F0","S10","T0","R2",0.459369844134347,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
91,"F0","S11","T0","R2",0.3774648319479,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
92,"F0","S12","T0","R2",0.211301529386804,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
93,"F0","S13","T0","R2",0.265303017630064,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
94,"F0","S14","T0","R2",0.120418910740245,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
95,"F0","S15","T0","R2",0.00581929297034747,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
96,"F0","S16","T0","R2",1.05192866786101,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
97,"F0","S17","T0","R2",0.406226351963569,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
98,"F0","S18","T0","R2",0.789965246700138,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
99,"F0","S19","T0","R2",0.0103184022311245,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
100,"F1","S20","T0","R2",0.660948457875445,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
101,"F1","S21","T0","R2",0.657941287567403,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
102,"F1","S22","T0","R2",0.68325500416549,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
103,"F1","S23","T0","R2",0.48847482195003,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
104,"F1","S24","T0","R2",0.289534664704426,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
105,"F1","S25","T0","R2",0.18418930391738,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
106,"F1","S26","T0","R2",0.14040340093073,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
107,"F1","S27","T0","R2",0.998806331780463,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
108,"F1","S28","T0","R2",0.182429207822407,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
109,"F1","S29","T0","R2",1.13514867185567,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
110,"F1","S30","T0","R2",0.151250885493532,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
111,"F1","S31","T0","R2",0.0272950262648681,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
112,"F1","S32","T0","R2",0.152304224588463,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
113,"F1","S33","T0","R2",4.05622779817292,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
114,"F1","S34","T0","R2",0.982140664476128,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
115,"F1","S35","T0","R2",0.0172264724377509,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
116,"F1","S36","T0","R2",0.170183985174512,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
117,"F1","S37","T0","R2",0.79248983275788,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
118,"F1","S38","T0","R2",0.0015134529913136,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
119,"F1","S39","T0","R2",0.369069525216329,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
120,"F0","S0","T0","R3",0.00374498302704751,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
121,"F0","S1","T0","R3",0.016451861229502,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
122,"F0","S2","T0","R3",0.174849302753371,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
123,"F0","S3","T0","R3",1.64063051350982,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
124,"F0","S4","T0","R3",4.78999052243712e-06,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
125,"F0","S5","T0","R3",0.114312726569429,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
126,"F0","S6","T0","R3",0.544160631878568,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
127,"F0","S7","T0","R3",0.404376111244425,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
128,"F0","S8","T0","R3",1.02213482275824,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
129,"F0","S9","T0","R3",0.0772866036585831,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
130,"F0","S10","T0","R3",0.813857215108654,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
131,"F0","S11","T0","R3",0.0407287481228133,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
132,"F0","S12","T0","R3",0.0244455285323008,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
133,"F0","S13","T0","R3",0.317183808491227,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
134,"F0","S14","T0","R3",0.0441217897766108,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
135,"F0","S15","T0","R3",0.65410468154706,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
136,"F0","S16","T0","R3",1.81834587463589,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
137,"F0","S17","T0","R3",2.43452562953172,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
138,"F0","S18","T0","R3",0.0903796239366541,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
139,"F0","S19","T0","R3",0.457859729733899,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
140,"F1","S20","T0","R3",1.15076096086996,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
141,"F1","S21","T0","R3",0.0994385681876671,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
142,"F1","S22","T0","R3",0.218698167928636,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
143,"F1","S23","T0","R3",0.0828275609853803,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
144,"F1","S24","T0","R3",0.684848477721813,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
145,"F1","S25","T0","R3",0.364545772407178,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
146,"F1","S26","T0","R3",1.07396282376547,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
147,"F1","S27","T0","R3",0.000927105699903854,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
148,"F1","S28","T0","R3",0.0013887351086366,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
149,"F1","S29","T0","R3",0.562100499532004,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
150,"F1","S30","T0","R3",1.2360447893364,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
151,"F1","S31","T0","R3",0.00176077808712662,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
152,"F1","S32","T0","R3",0.0691252834609671,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
153,"F1","S33","T0","R3",0.00306328861865106,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
154,"F1","S34","T0","R3",1.29244694724495,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
155,"F1","S35","T0","R3",0.133160668384727,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
156,"F1","S36","T0","R3",0.563927783300925,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
157,"F1","S37","T0","R3",0.0413454151035067,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
158,"F1","S38","T0","R3",1.03362197494783,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
159,"F1","S39","T0","R3",1.84194442717372,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
160,"F0","S0","T0","R4",0.00931498107675006,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
161,"F0","S1","T0","R4",0.440481527007986,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
162,"F0","S2","T0","R4",0.0877611319291513,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
163,"F0","S3","T0","R4",0.451209203824279,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
164,"F0","S4","T0","R4",0.089963527057999,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
165,"F0","S5","T0","R4",0.686200473745384,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
166,"F0","S6","T0","R4",2.01351980081918,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
167,"F0","S7","T0","R4",1.42820881674696,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
168,"F0","S8","T0","R4",0.00306015209000164,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
169,"F0","S9","T0","R4",0.257597601874053,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
170,"F0","S10","T0","R4",0.0704015428302859,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
171,"F0","S11","T0","R4",0.313675570171478,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
172,"F0","S12","T0","R4",0.67156460016609,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
173,"F0","S13","T0","R4",0.202543084869202,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
174,"F0","S14","T0","R4",1.3082584733714,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
175,"F0","S15","T0","R4",0.248637387932189,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
176,"F0","S16","T0","R4",0.542842496036677,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
177,"F0","S17","T0","R4",0.0955658011878604,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
178,"F0","S18","T0","R4",1.01228880402541,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
179,"F0","S19","T0","R4",0.179119527511936,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
180,"F1","S20","T0","R4",0.0564154305485192,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
181,"F1","S21","T0","R4",0.115991615644148,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
182,"F1","S22","T0","R4",0.00245160714071602,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
183,"F1","S23","T0","R4",0.0117445119274442,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
184,"F1","S24","T0","R4",0.0729964797470989,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
185,"F1","S25","T0","R4",0.495432735835059,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
186,"F1","S26","T0","R4",0.402819336798453,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
187,"F1","S27","T0","R4",0.00578690219029751,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
188,"F1","S28","T0","R4",1.71276437240179,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
189,"F1","S29","T0","R4",0.0463498260007585,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
190,"F1","S30","T0","R4",0.643485304801736,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
191,"F1","S31","T0","R4",1.26680452412666,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
192,"F1","S32","T0","R4",0.015616118053711,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
193,"F1","S33","T0","R4",0.00193411887154929,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
194,"F1","S34","T0","R4",0.0366044622311354,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
195,"F1","S35","T0","R4",0.841650979467793,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
196,"F1","S36","T0","R4",0.0150675618831271,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
197,"F1","S37","T0","R4",1.28633664747254,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
198,"F1","S38","T0","R4",0.0725709759218889,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
199,"F1","S39","T0","R4",0.191938879923909,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
200,"F0","S0","T0","R5",0.200669184592038,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
201,"F0","S1","T0","R5",0.0300539479227376,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
202,"F0","S2","T0","R5",0.257325907988425,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
203,"F0","S3","T0","R5",1.06489062661712,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
204,"F0","S4","T0","R5",0.187379758640509,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
205,"F0","S5","T0","R5",0.0803288244815136,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
206,"F0","S6","T0","R5",0.972061970508014,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
207,"F0","S7","T0","R5",0.232941645293404,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
208,"F0","S8","T0","R5",0.639018073352134,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
209,"F0","S9","T0","R5",0.0911103230936918,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
210,"F0","S10","T0","R5",0.0767306523272478,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
211,"F0","S11","T0","R5",1.21984066818604,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
212,"F0","S12","T0","R5",0.94881772911543,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
213,"F0","S13","T0","R5",0.000806865103704813,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
214,"F0","S14","T0","R5",0.0799326737496861,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
215,"F0","S15","T0","R5",0.000758618410395314,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
216,"F0","S16","T0","R5",0.43628594635874,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
217,"F0","S17","T0","R5",0.0400571378852482,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
218,"F0","S18","T0","R5",0.089222397589041,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
219,"F0","S19","T0","R5",0.520108727725027,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
220,"F1","S20","T0","R5",0.239447953445757,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
221,"F1","S21","T0","R5",0.113423473386045,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
222,"F1","S22","T0","R5",1.25537591420564,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
