"Inoculum","Genus","CS_duo","CS_type_duo","CS1","CS2","ab_obs_mean","ab_obs_se","ab_pred_mean","ab_pred_se"
1,"Arthrobacter","glucose_benzoate","SA","glucose","benzoate",0,0,8.87585125e-05,2.80017113421136e-06
1,"Arthrobacter","glucose_glutamine","SA","glucose","glutamine",0,0,0.000170371,2.6759690768019e-06
1,"Arthrobacter","succinate_benzoate","AA","succinate","benzoate",0,0,9.73723875e-05,4.31609457394387e-06
1,"Arthrobacter","succinate_glutamine","AA","succinate","glutamine",0,0,0.0001821685,6.70250272286405e-06
1,"Azomonas","glucose_fumarate","SA","glucose","fumarate",0,0,0.0015766753125,0.000139711825148223
1,"Azomonas","glucose_glycine","SA","glucose","glycine",0,0,0.0098260625,0.000172195289884528
1,"Azomonas","succinate_fumarate","AA","succinate","fumarate",0.0990119675,0.0139837323679191,0.0016533814375,0.000147479990824489
1,"Azomonas","succinate_glycerol","SA","succinate","glycerol",0.0099267095,0.0050097415,0,0
1,"Azomonas","succinate_glycine","AA","succinate","glycine",0,0,0.010594013,0.000437025593524948
1,"Brevundimonas","glucose_benzoate","SA","glucose","benzoate",0,0,4.93055428571429e-05,1.00441500811799e-05
1,"Brevundimonas","glucose_cellobiose","SS","glucose","cellobiose",0,0,4.502415e-05,4.88114789265804e-07
1,"Brevundimonas","glucose_fructose","SS","glucose","fructose",0,0,4.4387375e-05,8.07325045546512e-08
1,"Brevundimonas","glucose_fumarate","SA","glucose","fumarate",0,0,3.6725925e-05,1.68966083258348e-07
1,"Brevundimonas","glucose_glutamine","SA","glucose","glutamine",0,0,8.01046428571429e-05,1.30648206645949e-05
1,"Brevundimonas","glucose_glycerol","SS","glucose","glycerol",0,0,5.0396975e-05,1.84670428850065e-07
1,"Brevundimonas","glucose_glycine","SA","glucose","glycine",0,0,5.45547666666667e-05,7.3256260786669e-07
1,"Brevundimonas","glucose_ribose","SS","glucose","ribose",0,0,5.086335e-05,8.78461361794967e-07
1,"Brevundimonas","succinate_benzoate","AA","succinate","benzoate",0,0,0.000800036723076923,0.000252936091846121
1,"Brevundimonas","succinate_cellobiose","SA","succinate","cellobiose",0,0,0.000589809666666667,0.000178513756441411
1,"Brevundimonas","succinate_fructose","SA","succinate","fructose",0,0,0.000580482916666667,0.00017553269715452
1,"Brevundimonas","succinate_fumarate","AA","succinate","fumarate",0,0,0.000470976908333333,0.000141661959726337
1,"Brevundimonas","succinate_glutamine","AA","succinate","glutamine",0,0,0.000606578161538462,0.000180070947774319
1,"Brevundimonas","succinate_glycerol","SA","succinate","glycerol",0,0,0.00066952225,0.000203329338524821
1,"Brevundimonas","succinate_glycine","AA","succinate","glycine",0.000278319,0.000278319,0.000549650416666667,0.000215779795265123
1,"Brevundimonas","succinate_ribose","SA","succinate","ribose",0,0,0.00067664275,0.000205801047093484
1,"Brucella","glucose_glycine","SA","glucose","glycine",0,0,0.00329502425,5.53161532637242e-05
1,"Brucella","succinate_glycine","AA","succinate","glycine",0,0,0.00354057125,0.000139640831595069
1,"Burkholderia-Paraburkholderia","succinate_glycerol","SA","succinate","glycerol",9.28e-05,0,0,0
1,"Cellulomonadaceae","glucose_glycine","SA","glucose","glycine",0,0,7.8452975e-05,1.31705175826857e-06
1,"Cellulomonadaceae","succinate_glycine","AA","succinate","glycine",0,0,8.4299325e-05,3.32477652290972e-06
1,"Chryseobacterium","glucose_benzoate","SA","glucose","benzoate",0,0,0.00025340059,5.05706107005233e-05
1,"Chryseobacterium","glucose_cellobiose","SS","glucose","cellobiose",0,0,0.000137692,1.46503521004332e-06
1,"Chryseobacterium","glucose_fructose","SS","glucose","fructose",0,0,0.000135781,2.42455837903178e-07
1,"Chryseobacterium","glucose_fumarate","SA","glucose","fumarate",0,0,0.00158198290625,0.000340382514038905
1,"Chryseobacterium","glucose_glutamine","SA","glucose","glutamine",0,0,0.0022251879375,0.000466584431751715
1,"Chryseobacterium","glucose_glycerol","SS","glucose","glycerol",0,0,0.000153783,5.51905336085817e-07
1,"Chryseobacterium","glucose_glycine","SA","glucose","glycine",0,0,0.000107726333333333,3.21325187057148e-05
1,"Chryseobacterium","glucose_ribose","SS","glucose","ribose",0,0,0.00015517375,2.6226329764507e-06
1,"Chryseobacterium","succinate_benzoate","AA","succinate","benzoate",0.005659152,0.00380953326231031,0.00805215461875,0.00345220529190023
1,"Chryseobacterium","succinate_cellobiose","SA","succinate","cellobiose",0,0,0.00722275883333333,0.00295940189066838
1,"Chryseobacterium","succinate_fructose","SA","succinate","fructose",0,0,0.00710684058333333,0.00291071871188605
1,"Chryseobacterium","succinate_fumarate","AA","succinate","fumarate",0.033560641,0.0262674153152232,0.0059426692,0.00190852111117844
1,"Chryseobacterium","succinate_glutamine","AA","succinate","glutamine",0,0,0.0080737863125,0.00256966185983141
1,"Chryseobacterium","succinate_glycerol","SA","succinate","glycerol",2.32e-05,2.32e-05,0.006161287875,0.00266044425707038
1,"Chryseobacterium","succinate_glycine","AA","succinate","glycine",0.000834957,0.000834957,0.00676789634166667,0.00340849561890023
1,"Chryseobacterium","succinate_ribose","SA","succinate","ribose",0,0,0.00830400016666667,0.00340644233360061
1,"Citrobacter","glucose_benzoate","SA","glucose","benzoate",0.00062621775,0.000231545623166859,0.0663826766875,0.00197862881750237
1,"Citrobacter","glucose_cellobiose","SS","glucose","cellobiose",0.11074775025,0.00179908444712917,0.105363319125,0.00152565477099045
1,"Citrobacter","glucose_fructose","SS","glucose","fructose",0.11290472225,0.00235157092009091,0.1055039205,0.00146564215655056
1,"Citrobacter","glucose_fumarate","SA","glucose","fumarate",0,0,0.0420475289375,0.000767251777832878
1,"Citrobacter","glucose_glutamine","SA","glucose","glutamine",0.07477502525,0.0329211878454918,0.0519152956875,0.000975437405712884
1,"Citrobacter","glucose_glycerol","SS","glucose","glycerol",0.09822339725,0.00741887860228355,0.0535766158125,0.001072208377451
1,"Citrobacter","glucose_glycine","SA","glucose","glycine",0.162507344666667,0.00953974181660786,0.0571091565833333,0.00118951631617373
1,"Citrobacter","glucose_ribose","SS","glucose","ribose",0.0769551905,0.00918206537761162,0.069556128,0.00468372742171679
1,"Citrobacter","succinate_benzoate","AA","succinate","benzoate",0.000649411,0.000136558158475306,0.00365678225,0.000396088690814344
1,"Citrobacter","succinate_cellobiose","SA","succinate","cellobiose",0.06294647,0.00692786050976629,0.06364870175,0.00159063737022961
1,"Citrobacter","succinate_fructose","SA","succinate","fructose",0.09377029425,0.0217902121379512,0.064425240625,0.0014914689456888
1,"Citrobacter","succinate_fumarate","AA","succinate","fumarate",0.00507932075,0.000390630151410806,0.0053118820625,0.000412727486008307
1,"Citrobacter","succinate_glutamine","AA","succinate","glutamine",0.010924019,0.00295914663533644,0.004451407375,0.000247511012137539
1,"Citrobacter","succinate_glycerol","SA","succinate","glycerol",0.05327488625,0.00461234702567443,0.002950972625,0.000644379673347236
1,"Citrobacter","succinate_glycine","AA","succinate","glycine",0.00813309833333333,0.0023727244533831,0.00223341333333333,0.000330241365743766
1,"Citrobacter","succinate_ribose","SA","succinate","ribose",0.00034789875,0.000153262755606929,0.019530091125,0.00505122429099174
1,"Comamonadaceae.1","glucose_fumarate","SA","glucose","fumarate",0,0,0.0009621455,0.000236299255688629
1,"Comamonadaceae.1","succinate_fumarate","AA","succinate","fumarate",0.02136097975,0.00413167574953709,0.0005042776875,0.000177032455080411
1,"Comamonas","glucose_benzoate","SA","glucose","benzoate",0.000185546,0,0,0
1,"Comamonas","glucose_fumarate","SA","glucose","fumarate",6.957975e-05,6.957975e-05,2.80255e-05,1.25366516642204e-05
1,"Comamonas","glucose_glycine","SA","glucose","glycine",0,0,0.00237992025,0.000621105670797845
1,"Comamonas","succinate_fumarate","AA","succinate","fumarate",9.2773e-05,9.2773e-05,2.9399625e-05,1.31662875474559e-05
1,"Comamonas","succinate_glutamine","AA","succinate","glutamine",0.000371092,0,0,0
1,"Comamonas","succinate_glycine","AA","succinate","glycine",0,0,0.002559210625,0.000671089707972253
1,"Delftia","glucose_benzoate","SA","glucose","benzoate",2.32e-05,2.32e-05,0.001117519125,0.000108284818777414
1,"Delftia","glucose_cellobiose","SS","glucose","cellobiose",0,0,0.0005524779375,6.40462647708324e-05
1,"Delftia","glucose_fructose","SS","glucose","fructose",0,0,0.00046912900625,6.07502782003647e-05
1,"Delftia","glucose_fumarate","SA","glucose","fumarate",0.008187216,0.00149177836795031,0.0061982608125,0.000976983577115647
1,"Delftia","glucose_glutamine","SA","glucose","glutamine",2.32e-05,2.32e-05,0.0870741535,0.0041971005592656
1,"Delftia","glucose_glycerol","SS","glucose","glycerol",0,0,0.00034260388,5.19763896804127e-05
1,"Delftia","glucose_glycine","SA","glucose","glycine",0.00296874433333333,0.00146783837093602,0.0105268614166667,0.00238549570946623
1,"Delftia","glucose_ribose","SS","glucose","ribose",0,0,0.001626345875,0.00041375144982761
1,"Delftia","succinate_benzoate","AA","succinate","benzoate",0.00085815,0.000768183159730477,0.065194488625,0.0154526339088033
1,"Delftia","succinate_cellobiose","SA","succinate","cellobiose",9.2773e-05,9.2773e-05,0.0461552994375,0.0111675369417419
1,"Delftia","succinate_fructose","SA","succinate","fructose",0,0,0.0454024455625,0.0110099447872025
1,"Delftia","succinate_fumarate","AA","succinate","fumarate",0.0028527695,0.000625071116898109,0.04347026925,0.00915829577794796
1,"Delftia","succinate_glutamine","AA","succinate","glutamine",0.000834957,0.000342967447769707,0.140727023125,0.0119126102026196
1,"Delftia","succinate_glycerol","SA","succinate","glycerol",0,0,0.0515352770625,0.0124659034215084
1,"Delftia","succinate_glycine","AA","succinate","glycine",0.066270835,0.0624208082065143,0.0668908821666667,0.0157658207035662
1,"Delftia","succinate_ribose","SA","succinate","ribose",0.00097413,0.000557274767782764,0.0534234103125,0.0125809254045613
1,"Elizabethkingia","glucose_benzoate","SA","glucose","benzoate",0.00013916625,0.000110421011613412,0.062390813,0.00368317738035145
1,"Elizabethkingia","glucose_cellobiose","SS","glucose","cellobiose",0,0,0.000287022475,6.2886991881862e-05
1,"Elizabethkingia","glucose_fructose","SS","glucose","fructose",0,0,0.0004541063375,8.78793084857588e-05
1,"Elizabethkingia","glucose_fumarate","SA","glucose","fumarate",0,0,0.0004288662125,8.45243132778285e-05
1,"Elizabethkingia","glucose_glutamine","SA","glucose","glutamine",0,0,0.0611212805625,0.00283554498145272
1,"Elizabethkingia","glucose_glycerol","SS","glucose","glycerol",0,0,0.00028033793125,6.80710186257753e-05
1,"Elizabethkingia","glucose_glycine","SA","glucose","glycine",0,0,0.0090584715,0.000283376096582806
1,"Elizabethkingia","glucose_ribose","SS","glucose","ribose",0,0,0.00099524999375,0.000254808595297456
1,"Elizabethkingia","succinate_benzoate","AA","succinate","benzoate",0.18594025425,0.0250044098805972,0.06804141275,0.00408613216372406
1,"Elizabethkingia","succinate_cellobiose","SA","succinate","cellobiose",4.63865e-05,4.63865e-05,0.0004604220625,5.68352588763839e-05
1,"Elizabethkingia","succinate_fructose","SA","succinate","fructose",0,0,0.0006347918125,8.77172256813154e-05
1,"Elizabethkingia","succinate_fumarate","AA","succinate","fumarate",0,0,0.000574346375,8.47799782637817e-05
1,"Elizabethkingia","succinate_glutamine","AA","succinate","glutamine",4.64e-05,2.67890524903986e-05,0.065258953,0.0032059494152132
1,"Elizabethkingia","succinate_glycerol","SA","succinate","glycerol",9.277975e-05,6.56004177582925e-05,0.0004767185625,6.15895445866537e-05
1,"Elizabethkingia","succinate_glycine","AA","succinate","glycine",0.036490707,0.036490707,0.00993794766666667,0.000378466737357406
1,"Elizabethkingia","succinate_ribose","SA","succinate","ribose",6.95865e-05,4.44128680555159e-05,0.0012439801875,0.000272686898137547
1,"Empedobacter","glucose_glutamine","SA","glucose","glutamine",0,0,0.00151894138333333,0.000350171916152786
1,"Empedobacter","succinate_fumarate","AA","succinate","fumarate",9.28e-05,0,0,0
1,"Empedobacter","succinate_glutamine","AA","succinate","glutamine",0,0,0.00161385439166667,0.000373668226013034
1,"Empedobacter","succinate_glycine","AA","succinate","glycine",0.000185546,0,0,0
1,"Ensifer","glucose_fumarate","SA","glucose","fumarate",0,0,0.0003373545,3.83321228432064e-06
1,"Ensifer","succinate_fumarate","AA","succinate","fumarate",0.000556638,8.4689774712378e-05,8.84521875e-05,3.96117604791829e-05
1,"Enterobacter","glucose_benzoate","SA","glucose","benzoate",0.47764171075,0.0139555518574018,0.00224835625,0.000518866905917866
1,"Enterobacter","glucose_cellobiose","SS","glucose","cellobiose",0.0005102515,0.0005102515,0.007953790375,0.000703820708775999
1,"Enterobacter","glucose_fructose","SS","glucose","fructose",0.003757306,0.00105607814899048,0.0026103344375,0.000258311638701153
1,"Enterobacter","glucose_fumarate","SA","glucose","fumarate",0.01025141475,0.00609113108089044,0.014267760625,0.00124124290810547
1,"Enterobacter","glucose_glutamine","SA","glucose","glutamine",0.29956396675,0.0517209873242754,0.0027160909375,0.000478427350172499
1,"Enterobacter","glucose_glycerol","SS","glucose","glycerol",0,0,0.00121414141666667,9.19790912799684e-05
1,"Enterobacter","glucose_glycine","SA","glucose","glycine",0,0,0.00131549411111111,0.000117183847638662
1,"Enterobacter","glucose_ribose","SS","glucose","ribose",0.00851192125,0.00236930875156677,0.0296744655,0.00569414819336765
1,"Enterobacter","succinate_benzoate","AA","succinate","benzoate",0.00633175625,0.00150040750249876,0.0030011226875,0.0008839736387249
1,"Enterobacter","succinate_cellobiose","SA","succinate","cellobiose",0.18798126,0.0171272085471978,0.00887618025,0.00086174670773487
1,"Enterobacter","succinate_fructose","SA","succinate","fructose",0.090546433,0.0455034230521863,0.0031970546875,0.000552922395528927
1,"Enterobacter","succinate_fumarate","AA","succinate","fumarate",0.00180907325,0.000781260099960674,0.0153295230625,0.00133699244232122
1,"Enterobacter","succinate_glutamine","AA","succinate","glutamine",0.000834957,0.000517924885468121,0.003341040875,0.000719427661771077
1,"Enterobacter","succinate_glycerol","SA","succinate","glycerol",0,0,0.002903370875,0.000947195189209369
1,"Enterobacter","succinate_glycine","AA","succinate","glycine",0.000247394666666667,0.000134796043896366,0.00157110608333333,0.000747557410388999
1,"Enterobacter","succinate_ribose","SA","succinate","ribose",0.19343167275,0.0259754692321587,0.032213842875,0.00609332640108292
1,"Enterobacteriaceae.15","glucose_glycine","SA","glucose","glycine",0,0,0.001818974875,0.000111153031202713
1,"Enterobacteriaceae.15","succinate_glycine","AA","succinate","glycine",0,0,0.001954838125,0.000128227658817438
1,"Enterobacteriaceae.19","glucose_benzoate","SA","glucose","benzoate",0,0,0.00026069975,4.54318692063549e-06
1,"Enterobacteriaceae.19","glucose_glycerol","SS","glucose","glycerol",0,0,0.00070271875,0.000217554101889109
1,"Enterobacteriaceae.19","succinate_benzoate","AA","succinate","benzoate",0,0,0.0002809485,1.15222544198897e-05
1,"Enterobacteriaceae.19","succinate_glycerol","SA","succinate","glycerol",0,0,0.000751383875,0.00023357679138825
1,"Enterobacteriaceae.2","glucose_ribose","SS","glucose","ribose",0,0,0.000696282,1.07295926840988e-05
1,"Enterobacteriaceae.2","succinate_fructose","SA","succinate","fructose",0.005195287,0,0,0
1,"Enterobacteriaceae.2","succinate_ribose","SA","succinate","ribose",0.04255960675,0.0194626346577041,0.000185874875,8.33417876124614e-05
1,"Enterobacteriaceae.4","glucose_glutamine","SA","glucose","glutamine",9.28e-05,0,0,0
1,"Enterobacteriaceae.7","glucose_benzoate","SA","glucose","benzoate",0,0,0.00395628566666667,0.00123071803798982
1,"Enterobacteriaceae.7","glucose_cellobiose","SS","glucose","cellobiose",0,0,0.00286449725,0.000890451967267348
1,"Enterobacteriaceae.7","glucose_fructose","SS","glucose","fructose",0.00262083675,0.00170071507754157,0.0021182980625,0.000723589320619015
1,"Enterobacteriaceae.7","glucose_fumarate","SA","glucose","fumarate",0,0,0.00234093475,0.000729300731331838
1,"Enterobacteriaceae.7","glucose_glutamine","SA","glucose","glutamine",0.000463865,0.000463865,0.0022582855,0.000771889083324222
1,"Enterobacteriaceae.7","glucose_glycerol","SS","glucose","glycerol",0.00473142225,0.00473142225,0.0024018823125,0.000819279956684663
1,"Enterobacteriaceae.7","glucose_glycine","SA","glucose","glycine",0,0,0.00358823945454545,0.00109155664976046
1,"Enterobacteriaceae.7","glucose_ribose","SS","glucose","ribose",0.0038964655,0.00314426065923479,0.0054443160625,0.00112902030059525
1,"Enterobacteriaceae.7","succinate_fructose","SA","succinate","fructose",0.00170083833333333,0.000222998538985747,0,0
1,"Enterobacteriaceae.7","succinate_glutamine","AA","succinate","glutamine",0.0041747845,0.0017626865,0,0
1,"Enterobacteriaceae.7","succinate_glycerol","SA","succinate","glycerol",0.004916968,0,0,0
1,"Enterobacteriaceae.7","succinate_glycine","AA","succinate","glycine",0,0,0.001114784875,6.36192259985807e-05
1,"Enterobacteriaceae.7","succinate_ribose","SA","succinate","ribose",0,0,0.0043116505,0.000911652733754799
1,"Enterobacteriaceae.8","glucose_benzoate","SA","glucose","benzoate",0,0,0.0067386689375,0.000453442759896499
1,"Enterobacteriaceae.8","glucose_cellobiose","SS","glucose","cellobiose",0.04165507,0.00400019050058438,0.02828278075,0.0030991340522653
1,"Enterobacteriaceae.8","glucose_fructose","SS","glucose","fructose",0.01062250675,0.00462974988339855,0.0118832256875,0.0017629534408757
1,"Enterobacteriaceae.8","glucose_fumarate","SA","glucose","fumarate",0.59641432425,0.0438123037386739,0.0085147434375,0.000295590809250798
1,"Enterobacteriaceae.8","glucose_glutamine","SA","glucose","glutamine",0.01015864175,0.00600479664089368,0.0051339149375,0.000410019696764776
1,"Enterobacteriaceae.8","glucose_glycerol","SS","glucose","glycerol",0.0850264405,0.0182245793256534,0.3077941068125,0.0182951129738294
1,"Enterobacteriaceae.8","glucose_glycine","SA","glucose","glycine",0.119646225666667,0.036154190065945,0.0084067305,0.000790939574910814
1,"Enterobacteriaceae.8","glucose_ribose","SS","glucose","ribose",0.02748399675,0.00727221993208288,0.0066294550625,0.000475466100438423
1,"Enterobacteriaceae.8","succinate_benzoate","AA","succinate","benzoate",0,0,0.002512979875,0.000294672392512429
1,"Enterobacteriaceae.8","succinate_cellobiose","SA","succinate","cellobiose",0.0305686985,0.0124001831967627,0.0266131329375,0.00331955459706615
1,"Enterobacteriaceae.8","succinate_fructose","SA","succinate","fructose",0.000950923,0.000950923,0.0092464900625,0.00186561692009156
1,"Enterobacteriaceae.8","succinate_fumarate","AA","succinate","fumarate",0.009880323,0.00221249476227802,0.0061837083125,0.000258676660778225
1,"Enterobacteriaceae.8","succinate_glutamine","AA","succinate","glutamine",0,0,0.00214625328571429,0.000308632117364305
1,"Enterobacteriaceae.8","succinate_glycerol","SA","succinate","glycerol",0.02474719375,0.00279562817023996,0.325272356125,0.0202066661925866
1,"Enterobacteriaceae.8","succinate_glycine","AA","succinate","glycine",0,0,0.00486830725,0.00080194890398553
1,"Enterobacteriaceae.8","succinate_ribose","SA","succinate","ribose",0,0,0.00343792086666667,0.000375279635688336
1,"Enterococcus","glucose_benzoate","SA","glucose","benzoate",0.00053344475,0.000335300925621392,0.0040116410625,0.00044145700990263
1,"Enterococcus","glucose_cellobiose","SS","glucose","cellobiose",0,0,0.00168674125833333,0.000385202496807338
1,"Enterococcus","glucose_fructose","SS","glucose","fructose",0,0,4.48304375e-05,1.75614959232549e-07
1,"Enterococcus","glucose_fumarate","SA","glucose","fumarate",0.0039892385,0.00186509854038308,0.00021421525,8.76412878957924e-05
1,"Enterococcus","glucose_glutamine","SA","glucose","glutamine",0.00582150475,0.00181575113891503,0.0047148656875,0.000526808663597007
1,"Enterococcus","glucose_glycerol","SS","glucose","glycerol",0,0,5.0836475e-05,2.0532092627849e-07
1,"Enterococcus","glucose_glycine","SA","glucose","glycine",0,0,0.0001785298875,4.69764752961539e-05
1,"Enterococcus","glucose_ribose","SS","glucose","ribose",0,0,5.13015e-05,5.97192762610437e-07
1,"Enterococcus","succinate_benzoate","AA","succinate","benzoate",0.00533444675,0.0011528388408584,0.004750874375,0.000507221093946473
1,"Enterococcus","succinate_cellobiose","SA","succinate","cellobiose",0.00085815025,0.000121994437279858,0.001605549625,0.000367688992252951
1,"Enterococcus","succinate_fructose","SA","succinate","fructose",0.00044067175,9.56282195513568e-05,0.00028185975,2.64838552202878e-05
1,"Enterococcus","succinate_fumarate","AA","succinate","fumarate",0.00025512575,9.56282195513568e-05,0.0004352978125,9.50775175808411e-05
1,"Enterococcus","succinate_glutamine","AA","succinate","glutamine",0,0,0.0052908175,0.000563845446549326
1,"Enterococcus","succinate_glycerol","SA","succinate","glycerol",0.000487065,0.000317724981358354,0.0003235859375,3.08979703810877e-05
1,"Enterococcus","succinate_glycine","AA","succinate","glycine",0,0,0.000451392333333333,5.81722248501826e-05
1,"Enterococcus","succinate_ribose","SA","succinate","ribose",0,0,0.00032689525,3.13950117232685e-05
1,"Escherichia/Shigella","succinate_fructose","SA","succinate","fructose",0.001020503,0,0,0
1,"Escherichia/Shigella","succinate_glycine","AA","succinate","glycine",0.000278319,0,0,0
1,"Escherichia/Shigella","succinate_ribose","SA","succinate","ribose",0.001206049,0,0,0
1,"Flavobacterium","glucose_fumarate","SA","glucose","fumarate",0,0,0.0002811285,3.19434389455278e-06
1,"Flavobacterium","glucose_glycine","SA","glucose","glycine",9.28e-05,0,0,0
1,"Flavobacterium","succinate_fumarate","AA","succinate","fumarate",0,0,0.00029484075,7.75816775378267e-06
1,"Gammaproteobacteria.7","succinate_glycerol","SA","succinate","glycerol",9.28e-05,0,0,0
1,"Herbaspirillum","glucose_benzoate","SA","glucose","benzoate",4.63865e-05,4.63865e-05,0.00038317665625,0.000123413490903468
1,"Herbaspirillum","glucose_cellobiose","SS","glucose","cellobiose",0.000185546,0,0,0
1,"Herbaspirillum","glucose_fructose","SS","glucose","fructose",2.32e-05,2.32e-05,4.864011875e-05,1.54000763236643e-05
1,"Herbaspirillum","glucose_fumarate","SA","glucose","fumarate",0.01043696075,0.00462727052200374,0.0005349299375,8.28690336379976e-05
