,Family,ESV,Class,Resource,c_ia,Treatment
143,F1,S23,T0,R3,0.08282756098538031,Unspecialised
144,F1,S24,T0,R3,0.6848484777218131,Unspecialised
145,F1,S25,T0,R3,0.36454577240717795,Unspecialised
146,F1,S26,T0,R3,1.0739628237654686,Unspecialised
147,F1,S27,T0,R3,0.0009271056999038543,Unspecialised
148,F1,S28,T0,R3,0.0013887351086365998,Unspecialised
149,F1,S29,T0,R3,0.5621004995320038,Unspecialised
150,F1,S30,T0,R3,1.236044789336403,Unspecialised
151,F1,S31,T0,R3,0.0017607780871266212,Unspecialised
152,F1,S32,T0,R3,0.06912528346096712,Unspecialised
153,F1,S33,T0,R3,0.0030632886186510557,Unspecialised
154,F1,S34,T0,R3,1.2924469472449518,Unspecialised
155,F1,S35,T0,R3,0.1331606683847266,Unspecialised
156,F1,S36,T0,R3,0.563927783300925,Unspecialised
157,F1,S37,T0,R3,0.04134541510350667,Unspecialised
158,F1,S38,T0,R3,1.0336219749478288,Unspecialised
159,F1,S39,T0,R3,1.8419444271737206,Unspecialised
160,F0,S0,T0,R4,0.009314981076750063,Unspecialised
161,F0,S1,T0,R4,0.4404815270079863,Unspecialised
162,F0,S2,T0,R4,0.08776113192915128,Unspecialised
163,F0,S3,T0,R4,0.4512092038242791,Unspecialised
164,F0,S4,T0,R4,0.08996352705799901,Unspecialised
165,F0,S5,T0,R4,0.6862004737453836,Unspecialised
166,F0,S6,T0,R4,2.0135198008191826,Unspecialised
167,F0,S7,T0,R4,1.4282088167469584,Unspecialised
168,F0,S8,T0,R4,0.003060152090001637,Unspecialised
169,F0,S9,T0,R4,0.25759760187405273,Unspecialised
170,F0,S10,T0,R4,0.07040154283028587,Unspecialised
171,F0,S11,T0,R4,0.31367557017147796,Unspecialised
172,F0,S12,T0,R4,0.6715646001660902,Unspecialised
173,F0,S13,T0,R4,0.20254308486920194,Unspecialised
174,F0,S14,T0,R4,1.3082584733713964,Unspecialised
175,F0,S15,T0,R4,0.24863738793218906,Unspecialised
176,F0,S16,T0,R4,0.5428424960366768,Unspecialised
177,F0,S17,T0,R4,0.09556580118786036,Unspecialised
178,F0,S18,T0,R4,1.0122888040254094,Unspecialised
179,F0,S19,T0,R4,0.1791195275119356,Unspecialised
180,F1,S20,T0,R4,0.05641543054851922,Unspecialised
181,F1,S21,T0,R4,0.11599161564414838,Unspecialised
182,F1,S22,T0,R4,0.002451607140716016,Unspecialised
183,F1,S23,T0,R4,0.011744511927444202,Unspecialised
184,F1,S24,T0,R4,0.07299647974709889,Unspecialised
185,F1,S25,T0,R4,0.4954327358350595,Unspecialised
186,F1,S26,T0,R4,0.4028193367984532,Unspecialised
187,F1,S27,T0,R4,0.005786902190297505,Unspecialised
188,F1,S28,T0,R4,1.7127643724017936,Unspecialised
189,F1,S29,T0,R4,0.04634982600075854,Unspecialised
190,F1,S30,T0,R4,0.643485304801736,Unspecialised
191,F1,S31,T0,R4,1.2668045241266583,Unspecialised
192,F1,S32,T0,R4,0.015616118053710956,Unspecialised
193,F1,S33,T0,R4,0.0019341188715492868,Unspecialised
194,F1,S34,T0,R4,0.03660446223113538,Unspecialised
195,F1,S35,T0,R4,0.8416509794677928,Unspecialised
196,F1,S36,T0,R4,0.015067561883127118,Unspecialised
197,F1,S37,T0,R4,1.2863366474725417,Unspecialised
198,F1,S38,T0,R4,0.07257097592188895,Unspecialised
199,F1,S39,T0,R4,0.19193887992390854,Unspecialised
200,F0,S0,T0,R5,0.20066918459203814,Unspecialised
201,F0,S1,T0,R5,0.030053947922737613,Unspecialised
202,F0,S2,T0,R5,0.25732590798842514,Unspecialised
203,F0,S3,T0,R5,1.0648906266171194,Unspecialised
204,F0,S4,T0,R5,0.18737975864050874,Unspecialised
205,F0,S5,T0,R5,0.08032882448151359,Unspecialised
206,F0,S6,T0,R5,0.9720619705080142,Unspecialised
207,F0,S7,T0,R5,0.23294164529340353,Unspecialised
208,F0,S8,T0,R5,0.639018073352134,Unspecialised
209,F0,S9,T0,R5,0.09111032309369184,Unspecialised
210,F0,S10,T0,R5,0.07673065232724782,Unspecialised
211,F0,S11,T0,R5,1.2198406681860356,Unspecialised
212,F0,S12,T0,R5,0.9488177291154303,Unspecialised
213,F0,S13,T0,R5,0.0008068651037048132,Unspecialised
214,F0,S14,T0,R5,0.07993267374968607,Unspecialised
215,F0,S15,T0,R5,0.0007586184103953144,Unspecialised
216,F0,S16,T0,R5,0.4362859463587403,Unspecialised
217,F0,S17,T0,R5,0.04005713788524823,Unspecialised
218,F0,S18,T0,R5,0.08922239758904102,Unspecialised
219,F0,S19,T0,R5,0.5201087277250274,Unspecialised
220,F1,S20,T0,R5,0.23944795344575703,Unspecialised
221,F1,S21,T0,R5,0.11342347338604512,Unspecialised
222,F1,S22,T0,R5,1.2553759142056398,Unspecialised
223,F1,S23,T0,R5,0.7113410662974315,Unspecialised
224,F1,S24,T0,R5,0.9030184487037076,Unspecialised
225,F1,S25,T0,R5,0.006190619904063399,Unspecialised
226,F1,S26,T0,R5,0.0412210830114739,Unspecialised
227,F1,S27,T0,R5,1.7718910068492126,Unspecialised
228,F1,S28,T0,R5,0.10807176628769741,Unspecialised
229,F1,S29,T0,R5,0.0767269089700397,Unspecialised
230,F1,S30,T0,R5,0.1636727190301168,Unspecialised
231,F1,S31,T0,R5,0.4706395964397865,Unspecialised
232,F1,S32,T0,R5,0.7922470719969475,Unspecialised
233,F1,S33,T0,R5,0.03629583836005769,Unspecialised
234,F1,S34,T0,R5,0.028055441716212867,Unspecialised
235,F1,S35,T0,R5,0.40087513823006454,Unspecialised
236,F1,S36,T0,R5,0.2535759102808647,Unspecialised
237,F1,S37,T0,R5,1.2671597468594349,Unspecialised
238,F1,S38,T0,R5,0.004854227153717645,Unspecialised
239,F1,S39,T0,R5,0.616073321470976,Unspecialised
240,F0,S0,T0,R6,3.2517080995486247,Unspecialised
241,F0,S1,T0,R6,0.02250401742288131,Unspecialised
242,F0,S2,T0,R6,1.986637679244326,Unspecialised
243,F0,S3,T0,R6,0.6788273169618833,Unspecialised
244,F0,S4,T0,R6,0.5944501964983466,Unspecialised
245,F0,S5,T0,R6,0.1533966352101686,Unspecialised
246,F0,S6,T0,R6,0.03413472622639871,Unspecialised
247,F0,S7,T0,R6,0.822421959352061,Unspecialised
248,F0,S8,T0,R6,1.1037069641277482,Unspecialised
249,F0,S9,T0,R6,0.010551635117056668,Unspecialised
250,F0,S10,T0,R6,0.010037148555613011,Unspecialised
251,F0,S11,T0,R6,0.033659895095192204,Unspecialised
252,F0,S12,T0,R6,0.16969891660891512,Unspecialised
253,F0,S13,T0,R6,0.0058087903651188304,Unspecialised
254,F0,S14,T0,R6,1.111237886822977,Unspecialised
255,F0,S15,T0,R6,0.12427824226639922,Unspecialised
256,F0,S16,T0,R6,0.9171311977698494,Unspecialised
257,F0,S17,T0,R6,0.08950224996662474,Unspecialised
258,F0,S18,T0,R6,0.7945801042787166,Unspecialised
259,F0,S19,T0,R6,0.14400059354827976,Unspecialised
260,F1,S20,T0,R6,0.032923762779899474,Unspecialised
261,F1,S21,T0,R6,0.735428083252406,Unspecialised
262,F1,S22,T0,R6,0.2010132918398574,Unspecialised
263,F1,S23,T0,R6,0.7049317622794578,Unspecialised
264,F1,S24,T0,R6,0.00968662479412562,Unspecialised
265,F1,S25,T0,R6,0.5061051990954651,Unspecialised
266,F1,S26,T0,R6,0.2702951273124233,Unspecialised
267,F1,S27,T0,R6,0.3106763262968012,Unspecialised
268,F1,S28,T0,R6,0.7378503011761823,Unspecialised
269,F1,S29,T0,R6,0.2235654680763795,Unspecialised
270,F1,S30,T0,R6,0.40947178901869724,Unspecialised
271,F1,S31,T0,R6,0.1567781736023877,Unspecialised
272,F1,S32,T0,R6,0.15213504609236556,Unspecialised
273,F1,S33,T0,R6,0.049656590534459255,Unspecialised
274,F1,S34,T0,R6,0.6957634015218531,Unspecialised
275,F1,S35,T0,R6,0.8492398286083515,Unspecialised
276,F1,S36,T0,R6,0.08756452534087295,Unspecialised
277,F1,S37,T0,R6,1.0634298442229555,Unspecialised
278,F1,S38,T0,R6,0.20439924047787844,Unspecialised
279,F1,S39,T0,R6,0.21159679670292375,Unspecialised
280,F0,S0,T0,R7,4.9336757550639,Unspecialised
281,F0,S1,T0,R7,2.8677145839748968,Unspecialised
282,F0,S2,T0,R7,0.31412600923567346,Unspecialised
283,F0,S3,T0,R7,0.4438360618378538,Unspecialised
284,F0,S4,T0,R7,0.3299625657772841,Unspecialised
285,F0,S5,T0,R7,0.0005495944882026298,Unspecialised
286,F0,S6,T0,R7,0.9373441873956007,Unspecialised
287,F0,S7,T0,R7,0.9566898599058185,Unspecialised
288,F0,S8,T0,R7,2.694093391910212,Unspecialised
289,F0,S9,T0,R7,2.5306571622343204,Unspecialised
290,F0,S10,T0,R7,0.2836080801294463,Unspecialised
291,F0,S11,T0,R7,0.01322818672975045,Unspecialised
292,F0,S12,T0,R7,1.0867899845850633,Unspecialised
293,F0,S13,T0,R7,0.002838014685735411,Unspecialised
294,F0,S14,T0,R7,0.482039383686954,Unspecialised
295,F0,S15,T0,R7,0.034578146332628644,Unspecialised
296,F0,S16,T0,R7,0.0006395630717915849,Unspecialised
297,F0,S17,T0,R7,0.10972775431182344,Unspecialised
298,F0,S18,T0,R7,0.30089490175322753,Unspecialised
299,F0,S19,T0,R7,0.3223758369830011,Unspecialised
300,F1,S20,T0,R7,0.12765165862822186,Unspecialised
301,F1,S21,T0,R7,0.23776953559766104,Unspecialised
302,F1,S22,T0,R7,2.4610101872422794,Unspecialised
303,F1,S23,T0,R7,0.16070502802471032,Unspecialised
304,F1,S24,T0,R7,0.5727007805421069,Unspecialised
305,F1,S25,T0,R7,0.2600401786100937,Unspecialised
306,F1,S26,T0,R7,0.12038550332817771,Unspecialised
307,F1,S27,T0,R7,0.2572658535541445,Unspecialised
308,F1,S28,T0,R7,0.4226870834928802,Unspecialised
309,F1,S29,T0,R7,0.10318222606497883,Unspecialised
310,F1,S30,T0,R7,0.6893342388860835,Unspecialised
311,F1,S31,T0,R7,0.08954544120178654,Unspecialised
312,F1,S32,T0,R7,0.1282907461451408,Unspecialised
313,F1,S33,T0,R7,3.8578761314878074,Unspecialised
314,F1,S34,T0,R7,0.3459370283341632,Unspecialised
315,F1,S35,T0,R7,0.02555109650783761,Unspecialised
316,F1,S36,T0,R7,0.23216297395550187,Unspecialised
317,F1,S37,T0,R7,0.12236018266595844,Unspecialised
318,F1,S38,T0,R7,0.27981465268130706,Unspecialised
319,F1,S39,T0,R7,0.14067752766250904,Unspecialised
320,F0,S0,T0,R8,0.6751768671758739,Unspecialised
321,F0,S1,T0,R8,0.03261291879781427,Unspecialised
322,F0,S2,T0,R8,0.08240902601700464,Unspecialised
323,F0,S3,T0,R8,0.9873917752638521,Unspecialised
324,F0,S4,T0,R8,0.07145389696029489,Unspecialised
325,F0,S5,T0,R8,0.0955752917706456,Unspecialised
326,F0,S6,T0,R8,0.2676708536532574,Unspecialised
327,F0,S7,T0,R8,1.3427089927093516,Unspecialised
328,F0,S8,T0,R8,1.2954541583660808,Unspecialised
329,F0,S9,T0,R8,0.0812719537568641,Unspecialised
330,F0,S10,T0,R8,0.26647073107374564,Unspecialised
331,F0,S11,T0,R8,1.398503254073204,Unspecialised
332,F0,S12,T0,R8,0.0058756652839461534,Unspecialised
333,F0,S13,T0,R8,0.36078537221692597,Unspecialised
334,F0,S14,T0,R8,0.04549454712661988,Unspecialised
335,F0,S15,T0,R8,0.12100629560492106,Unspecialised
336,F0,S16,T0,R8,0.034946407202957816,Unspecialised
337,F0,S17,T0,R8,2.5555214260819416e-05,Unspecialised
338,F0,S18,T0,R8,0.4562977694727881,Unspecialised
339,F0,S19,T0,R8,0.15115250707222658,Unspecialised
340,F1,S20,T0,R8,0.30203117269349095,Unspecialised
341,F1,S21,T0,R8,0.0002692686076560111,Unspecialised
342,F1,S22,T0,R8,0.16962216000352925,Unspecialised
343,F1,S23,T0,R8,1.1250050747210323,Unspecialised
344,F1,S24,T0,R8,0.004900710815018863,Unspecialised
345,F1,S25,T0,R8,0.060003401715485856,Unspecialised
346,F1,S26,T0,R8,0.0035191818198436315,Unspecialised
347,F1,S27,T0,R8,1.0492280235829605,Unspecialised
348,F1,S28,T0,R8,0.08651250301731782,Unspecialised
349,F1,S29,T0,R8,0.03363782968468139,Unspecialised
350,F1,S30,T0,R8,0.0166346014488675,Unspecialised
351,F1,S31,T0,R8,0.26474116864408365,Unspecialised
352,F1,S32,T0,R8,0.09475244292867697,Unspecialised
353,F1,S33,T0,R8,0.14953106507736486,Unspecialised
354,F1,S34,T0,R8,0.8170568413758881,Unspecialised
355,F1,S35,T0,R8,0.22722873743360458,Unspecialised
356,F1,S36,T0,R8,0.061462583636332474,Unspecialised
357,F1,S37,T0,R8,0.21197927695592372,Unspecialised
358,F1,S38,T0,R8,0.11810413615896799,Unspecialised
359,F1,S39,T0,R8,0.17114293959750876,Unspecialised
360,F0,S0,T0,R9,0.4297947635878474,Unspecialised
361,F0,S1,T0,R9,0.10644508857015449,Unspecialised
362,F0,S2,T0,R9,0.9330411900990392,Unspecialised
363,F0,S3,T0,R9,0.5654569421379099,Unspecialised
364,F0,S4,T0,R9,0.6983501920076439,Unspecialised
365,F0,S5,T0,R9,0.003728620925183951,Unspecialised
366,F0,S6,T0,R9,0.07187116715143615,Unspecialised
367,F0,S7,T0,R9,0.3378946498674222,Unspecialised
368,F0,S8,T0,R9,0.07765417148815117,Unspecialised
369,F0,S9,T0,R9,0.0733641142627457,Unspecialised
370,F0,S10,T0,R9,0.3639229965910037,Unspecialised
371,F0,S11,T0,R9,0.15183922301909603,Unspecialised
372,F0,S12,T0,R9,1.5660895260360421,Unspecialised
373,F0,S13,T0,R9,0.2992535759759467,Unspecialised
374,F0,S14,T0,R9,0.5606764837834528,Unspecialised
375,F0,S15,T0,R9,0.9581584201902783,Unspecialised
376,F0,S16,T0,R9,0.25694720210838656,Unspecialised
377,F0,S17,T0,R9,0.2139329519797223,Unspecialised
378,F0,S18,T0,R9,0.1283986805198706,Unspecialised
379,F0,S19,T0,R9,0.015617651903330473,Unspecialised
380,F1,S20,T0,R9,0.010731062489392524,Unspecialised
381,F1,S21,T0,R9,1.115191831546473,Unspecialised
382,F1,S22,T0,R9,0.005551215095984414,Unspecialised
383,F1,S23,T0,R9,0.685290310396,Unspecialised
384,F1,S24,T0,R9,0.02108701007253351,Unspecialised
385,F1,S25,T0,R9,0.5253260394609347,Unspecialised
386,F1,S26,T0,R9,0.4441472299490789,Unspecialised
387,F1,S27,T0,R9,0.005201159619835176,Unspecialised
388,F1,S28,T0,R9,0.013657976473590799,Unspecialised
389,F1,S29,T0,R9,1.8994737911657127,Unspecialised
390,F1,S30,T0,R9,0.22848970770957316,Unspecialised
391,F1,S31,T0,R9,0.060328721391917764,Unspecialised
392,F1,S32,T0,R9,0.04684926554679679,Unspecialised
393,F1,S33,T0,R9,3.298523540114834,Unspecialised
394,F1,S34,T0,R9,1.7837426121044673,Unspecialised
395,F1,S35,T0,R9,1.0047075820213647,Unspecialised
396,F1,S36,T0,R9,0.12895622369608847,Unspecialised
397,F1,S37,T0,R9,0.024426187913518038,Unspecialised
398,F1,S38,T0,R9,0.03827149690188259,Unspecialised
399,F1,S39,T0,R9,0.502772385366984,Unspecialised
400,F0,S0,T1,R10,0.24043014029624185,Unspecialised
401,F0,S1,T1,R10,0.17015062742967896,Unspecialised
402,F0,S2,T1,R10,0.03107139553420443,Unspecialised
403,F0,S3,T1,R10,0.4155913251428221,Unspecialised
404,F0,S4,T1,R10,0.16256646899329086,Unspecialised
405,F0,S5,T1,R10,0.014757216250019077,Unspecialised
406,F0,S6,T1,R10,0.347948001458466,Unspecialised
407,F0,S7,T1,R10,0.14903665456019594,Unspecialised
408,F0,S8,T1,R10,0.19290206189728917,Unspecialised
409,F0,S9,T1,R10,0.8078408114253727,Unspecialised
410,F0,S10,T1,R10,0.3014297965729828,Unspecialised
411,F0,S11,T1,R10,0.50932087630029,Unspecialised
412,F0,S12,T1,R10,0.5938579119660284,Unspecialised
413,F0,S13,T1,R10,0.1669314216196275,Unspecialised
414,F0,S14,T1,R10,0.5875304797213793,Unspecialised
415,F0,S15,T1,R10,0.09412013807874624,Unspecialised
416,F0,S16,T1,R10,0.3520646148234624,Unspecialised
417,F0,S17,T1,R10,0.4497643401775753,Unspecialised
418,F0,S18,T1,R10,0.2833894119783467,Unspecialised
419,F0,S19,T1,R10,0.06375010623842077,Unspecialised
420,F1,S20,T1,R10,0.01755356704327763,Unspecialised
421,F1,S21,T1,R10,0.09460527304348296,Unspecialised
422,F1,S22,T1,R10,0.006395615123742381,Unspecialised
423,F1,S23,T1,R10,0.19595516817163106,Unspecialised
424,F1,S24,T1,R10,0.04532418981929505,Unspecialised
425,F1,S25,T1,R10,0.08573120391906625,Unspecialised
426,F1,S26,T1,R10,0.008146538519641153,Unspecialised
427,F1,S27,T1,R10,0.22493760919112873,Unspecialised
428,F1,S28,T1,R10,0.6703459767643589,Unspecialised
429,F1,S29,T1,R10,0.01273812543266413,Unspecialised
430,F1,S30,T1,R10,1.1271255034238292,Unspecialised
431,F1,S31,T1,R10,0.2671987019017812,Unspecialised
432,F1,S32,T1,R10,0.0008209499440524206,Unspecialised
433,F1,S33,T1,R10,0.12843873104316952,Unspecialised
434,F1,S34,T1,R10,0.029710888950749366,Unspecialised
435,F1,S35,T1,R10,0.6583285813646619,Unspecialised
436,F1,S36,T1,R10,0.17794853677464667,Unspecialised
437,F1,S37,T1,R10,0.004246258781453824,Unspecialised
438,F1,S38,T1,R10,0.3441097885727854,Unspecialised
439,F1,S39,T1,R10,0.349400045023869,Unspecialised
440,F0,S0,T1,R11,0.9609383219983034,Unspecialised
441,F0,S1,T1,R11,0.7767679830998299,Unspecialised
442,F0,S2,T1,R11,0.5056414852323143,Unspecialised
443,F0,S3,T1,R11,2.293143891453256,Unspecialised
444,F0,S4,T1,R11,0.11793388244949225,Unspecialised
445,F0,S5,T1,R11,0.0042320866054258634,Unspecialised
446,F0,S6,T1,R11,0.0832635046195563,Unspecialised
447,F0,S7,T1,R11,0.18343603249896206,Unspecialised
448,F0,S8,T1,R11,2.7537309008142588,Unspecialised
449,F0,S9,T1,R11,0.10708991062449118,Unspecialised
450,F0,S10,T1,R11,0.31042792657128543,Unspecialised
451,F0,S11,T1,R11,0.035960341715250185,Unspecialised
452,F0,S12,T1,R11,0.043908927764340265,Unspecialised
453,F0,S13,T1,R11,0.08662401642050976,Unspecialised
454,F0,S14,T1,R11,0.09350205843164407,Unspecialised
455,F0,S15,T1,R11,0.5961369287120014,Unspecialised
456,F0,S16,T1,R11,0.03167389349631582,Unspecialised
457,F0,S17,T1,R11,0.43134691099989786,Unspecialised
458,F0,S18,T1,R11,1.0281866943874503,Unspecialised
459,F0,S19,T1,R11,0.1374316712036072,Unspecialised
460,F1,S20,T1,R11,0.0036683347807734577,Unspecialised
461,F1,S21,T1,R11,0.3045709819449058,Unspecialised
462,F1,S22,T1,R11,0.9776974705336376,Unspecialised
463,F1,S23,T1,R11,0.15022908340115906,Unspecialised
464,F1,S24,T1,R11,0.5419768824609207,Unspecialised
